RX,RY,RZ,TX,TY,TZ
1.23508,-1.1909,-1.37848,-155.342,-1725.73,1654.8
1.23274,-1.19337,-1.38845,-156.791,-1726.51,1654.33
1.23254,-1.19446,-1.39671,-158.286,-1727.51,1653.92
1.23461,-1.19933,-1.40406,-159.675,-1728.72,1653.54
1.23315,-1.20165,-1.41403,-161.208,-1730.1,1653.19
1.23778,-1.20591,-1.41979,-162.725,-1731.69,1652.83
1.23178,-1.20739,-1.43282,-164.428,-1733.5,1652.49
1.23084,-1.20945,-1.44198,-166.141,-1735.56,1652.15
1.2281,-1.21258,-1.45275,-167.973,-1737.78,1651.8
1.22649,-1.21633,-1.46167,-169.882,-1740.24,1651.47
1.2217,-1.22048,-1.47231,-171.924,-1742.9,1651.09
1.21881,-1.22428,-1.48137,-174.029,-1745.75,1650.68
1.2195,-1.23095,-1.48863,-176.137,-1748.8,1650.21
1.21212,-1.23511,-1.50074,-178.566,-1752.11,1649.73
1.20557,-1.2373,-1.51201,-181.045,-1755.58,1649.16
1.20033,-1.24085,-1.52382,-183.573,-1759.28,1648.51
1.19948,-1.24734,-1.52814,-186.267,-1763.09,1647.63
1.19566,-1.25148,-1.53647,-189.065,-1767.12,1646.72
1.19227,-1.25614,-1.54558,-191.99,-1771.38,1645.71
1.19026,-1.26006,-1.55358,-195.017,-1775.79,1644.53
1.18809,-1.26277,-1.5612,-198.197,-1780.39,1643.23
1.18615,-1.265,-1.56839,-201.513,-1785.19,1641.8
1.18685,-1.26734,-1.57409,-204.911,-1790.21,1640.29
1.18858,-1.26872,-1.57935,-208.454,-1795.42,1638.69
1.18982,-1.26985,-1.58592,-212.105,-1800.81,1637.03
1.1916,-1.27283,-1.59002,-215.855,-1806.31,1635.23
1.19359,-1.27474,-1.59497,-219.722,-1811.88,1633.31
1.19574,-1.27802,-1.60126,-223.669,-1817.57,1631.37
1.19625,-1.28378,-1.60713,-227.704,-1823.3,1629.45
1.19566,-1.28831,-1.61643,-231.969,-1829.19,1627.54
1.19561,-1.29096,-1.62576,-236.276,-1835.13,1625.7
1.19776,-1.29814,-1.63327,-240.646,-1841.14,1623.96
1.19622,-1.30658,-1.64349,-245.26,-1847.21,1622.22
1.19304,-1.3148,-1.654,-249.9,-1853.32,1620.48
1.19113,-1.32629,-1.6625,-254.624,-1859.47,1618.81
1.18879,-1.33655,-1.67174,-259.564,-1865.74,1617.23
1.18295,-1.33725,-1.67653,-264.346,-1872.04,1615.8
1.1776,-1.34807,-1.68801,-269.514,-1878.43,1614.22
1.17537,-1.35387,-1.69656,-274.586,-1884.88,1612.56
1.16362,-1.35719,-1.71354,-280,-1891.26,1610.93
1.16118,-1.36428,-1.72019,-285.241,-1897.85,1609.33
1.15865,-1.37152,-1.7287,-290.552,-1904.49,1607.65
1.15656,-1.37965,-1.73637,-295.936,-1911.06,1605.91
1.15505,-1.38153,-1.74541,-301.172,-1917.57,1604.03
1.15475,-1.38885,-1.7541,-306.492,-1924.01,1602.06
1.15154,-1.39291,-1.76491,-311.792,-1930.3,1600.1
1.14689,-1.40206,-1.77542,-317.101,-1936.52,1598.19
1.14593,-1.40911,-1.78449,-322.228,-1942.61,1596.17
1.14247,-1.41642,-1.79539,-327.347,-1948.53,1594.11
1.14372,-1.42794,-1.79687,-332.392,-1954.71,1591.91
1.13931,-1.43003,-1.81647,-337.521,-1960.02,1589.76
1.1362,-1.44077,-1.82748,-342.607,-1965.61,1587.63
1.13807,-1.44459,-1.83862,-347.604,-1971.19,1585.52
1.14063,-1.45806,-1.83962,-352.662,-1977.02,1583.4
1.13678,-1.45573,-1.85539,-357.634,-1982.16,1581.49
1.14062,-1.46338,-1.85363,-362.557,-1987.85,1579.45
1.14281,-1.46729,-1.85808,-367.474,-1993.17,1577.63
1.14344,-1.47158,-1.86645,-372.421,-1998.24,1575.8
1.14323,-1.47541,-1.87432,-377.214,-2003.26,1574.05
1.14347,-1.4791,-1.88053,-381.88,-2008.14,1572.35
1.14104,-1.483,-1.88849,-386.502,-2012.87,1570.69
1.14033,-1.4893,-1.89357,-391.067,-2017.53,1569.07
1.13871,-1.49329,-1.90246,-395.509,-2021.96,1567.44
1.13911,-1.49795,-1.90733,-399.74,-2026.42,1565.81
1.13701,-1.50162,-1.91532,-404.062,-2030.61,1564.21
1.13481,-1.50586,-1.92312,-408.173,-2034.79,1562.65
1.13283,-1.51204,-1.93178,-412.215,-2038.75,1561.06
1.12061,-1.50375,-1.95951,-416.133,-2043.12,1559.46
1.11918,-1.51154,-1.96529,-419.962,-2046.83,1557.84
1.11561,-1.51543,-1.97683,-423.74,-2050.38,1556.34
1.11523,-1.52253,-1.98428,-427.342,-2053.85,1554.75
1.11145,-1.52769,-1.99302,-430.954,-2057.18,1553.28
1.11072,-1.53563,-1.99999,-434.39,-2060.44,1551.7
